Calculation under illumination
Optical generation from internal SCAPS calculation
Illumination spectrum read from file
spectrum file :	
C:\Users\orden\Desktop\scaps\spectrum\AM1_5G 1 sun.spe  last saved: 	22-05-2009 at 15:59:48
Neutral density filter: ND	  0.0458
Transmission of ND filter:	  9.0000e-01
Power from spectrum:	  100.0000	mW/cm2
Incident power on solar cell structure	   90.0000	mW/cm2

Working point conditions
Temperature	  300.00	K
Workpoint bias voltage	    0.0000	Volt
Frequency	  1.0000e+06	Hz

Voltage reference convention: voltage referred to right contact, voltage V applied to left contact
Current reference convention: current positive when entering the left contact
Power generated by the cell: = -V*I; power consumed by the cell = +V*I

    v(V)	jtot(mA/cm2)	j_total_rec(mA/cm2)	j_total_gen(mA/cm2)	   jbulk(mA/cm2)	jifr(mA/cm2)	jminor_left(mA/cm2)	jminor_right(mA/cm2)	j_SRH(mA/cm2)	j_Radiative(mA/cm2)	j_Auger(mA/cm2)
   0.235000	   -2.75267800e+01	        7.47786911e+00	    3.50942307e+01	    1.65151297e-02	    0.00000000e+00	    4.85875855e+00	    2.60259544e+00	    1.65151297e-02	    0.00000000e+00	    0.00000000e+00
   0.240000	   -2.75252182e+01	        7.47843200e+00	    3.50942307e+01	    1.65212176e-02	    0.00000000e+00	    4.85876480e+00	    2.60314598e+00	    1.65212176e-02	    0.00000000e+00	    0.00000000e+00
   0.245000	   -2.75236489e+01	        7.47900127e+00	    3.50942307e+01	    1.65273851e-02	    0.00000000e+00	    4.85877083e+00	    2.60370305e+00	    1.65273851e-02	    0.00000000e+00	    0.00000000e+00
   0.250000	   -2.75220724e+01	        7.47957730e+00	    3.50942307e+01	    1.65336397e-02	    0.00000000e+00	    4.85877642e+00	    2.60426724e+00	    1.65336397e-02	    0.00000000e+00	    0.00000000e+00
   0.255000	   -2.75204878e+01	        7.48016137e+00	    3.50942307e+01	    1.65399900e-02	    0.00000000e+00	    4.85878213e+00	    2.60483926e+00	    1.65399900e-02	    0.00000000e+00	    0.00000000e+00
   0.260000	   -2.75188942e+01	        7.48075542e+00	    3.50942307e+01	    1.65464463e-02	    0.00000000e+00	    4.85878906e+00	    2.60541991e+00	    1.65464463e-02	    0.00000000e+00	    0.00000000e+00
   0.265000	   -2.75172900e+01	        7.48136036e+00	    3.50942307e+01	    1.65530207e-02	    0.00000000e+00	    4.85879713e+00	    2.60601021e+00	    1.65530207e-02	    0.00000000e+00	    0.00000000e+00
   0.270000	   -2.75156744e+01	        7.48197548e+00	    3.50942307e+01	    1.65597275e-02	    0.00000000e+00	    4.85880442e+00	    2.60661133e+00	    1.65597275e-02	    0.00000000e+00	    0.00000000e+00
   0.275000	   -2.75140454e+01	        7.48260428e+00	    3.50942307e+01	    1.65665839e-02	    0.00000000e+00	    4.85881301e+00	    2.60722468e+00	    1.65665839e-02	    0.00000000e+00	    0.00000000e+00
   0.280000	   -2.75124016e+01	        7.48324769e+00	    3.50942307e+01	    1.65736103e-02	    0.00000000e+00	    4.85882212e+00	    2.60785196e+00	    1.65736103e-02	    0.00000000e+00	    0.00000000e+00
   0.285000	   -2.75107405e+01	        7.48390962e+00	    3.50942307e+01	    1.65808309e-02	    0.00000000e+00	    4.85883357e+00	    2.60849521e+00	    1.65808309e-02	    0.00000000e+00	    0.00000000e+00
   0.290000	   -2.75090600e+01	        7.48458988e+00	    3.50942307e+01	    1.65882748e-02	    0.00000000e+00	    4.85884472e+00	    2.60915688e+00	    1.65882748e-02	    0.00000000e+00	    0.00000000e+00
   0.295000	   -2.75073561e+01	        7.48529375e+00	    3.50942307e+01	    1.65959769e-02	    0.00000000e+00	    4.85885786e+00	    2.60983991e+00	    1.65959769e-02	    0.00000000e+00	    0.00000000e+00
   0.300000	   -2.75056251e+01	        7.48602519e+00	    3.50942307e+01	    1.66039788e-02	    0.00000000e+00	    4.85887335e+00	    2.61054786e+00	    1.66039788e-02	    0.00000000e+00	    0.00000000e+00
   0.305000	   -2.75038619e+01	        7.48678704e+00	    3.50942307e+01	    1.66123308e-02	    0.00000000e+00	    4.85888970e+00	    2.61128501e+00	    1.66123308e-02	    0.00000000e+00	    0.00000000e+00
   0.310000	   -2.75020615e+01	        7.48758776e+00	    3.50942307e+01	    1.66210929e-02	    0.00000000e+00	    4.85891014e+00	    2.61205653e+00	    1.66210929e-02	    0.00000000e+00	    0.00000000e+00
   0.315000	   -2.75002169e+01	        7.48843217e+00	    3.50942307e+01	    1.66303376e-02	    0.00000000e+00	    4.85893316e+00	    2.61286867e+00	    1.66303376e-02	    0.00000000e+00	    0.00000000e+00
   0.320000	   -2.74983196e+01	        7.48933064e+00	    3.50942307e+01	    1.66401521e-02	    0.00000000e+00	    4.85896150e+00	    2.61372898e+00	    1.66401521e-02	    0.00000000e+00	    0.00000000e+00
   0.325000	   -2.74963590e+01	        7.49029035e+00	    3.50942307e+01	    1.66506413e-02	    0.00000000e+00	    4.85899312e+00	    2.61464659e+00	    1.66506413e-02	    0.00000000e+00	    0.00000000e+00
   0.330000	   -2.74943241e+01	        7.49132637e+00	    3.50942307e+01	    1.66619320e-02	    0.00000000e+00	    4.85903190e+00	    2.61563254e+00	    1.66619320e-02	    0.00000000e+00	    0.00000000e+00
   0.335000	   -2.74921986e+01	        7.49245073e+00	    3.50942307e+01	    1.66741768e-02	    0.00000000e+00	    4.85907636e+00	    2.61670019e+00	    1.66741768e-02	    0.00000000e+00	    0.00000000e+00
   0.340000	   -2.74899665e+01	        7.49368304e+00	    3.50942307e+01	    1.66875600e-02	    0.00000000e+00	    4.85912976e+00	    2.61786572e+00	    1.66875600e-02	    0.00000000e+00	    0.00000000e+00
   0.345000	   -2.74876049e+01	        7.49504491e+00	    3.50942307e+01	    1.67023042e-02	    0.00000000e+00	    4.85919390e+00	    2.61914871e+00	    1.67023042e-02	    0.00000000e+00	    0.00000000e+00
   0.350000	   -2.74850879e+01	        7.49656234e+00	    3.50942307e+01	    1.67186781e-02	    0.00000000e+00	    4.85927078e+00	    2.62057288e+00	    1.67186781e-02	    0.00000000e+00	    0.00000000e+00
   0.355000	   -2.74823835e+01	        7.49826536e+00	    3.50942307e+01	    1.67370066e-02	    0.00000000e+00	    4.85936141e+00	    2.62216695e+00	    1.67370066e-02	    0.00000000e+00	    0.00000000e+00
   0.360000	   -2.74794539e+01	        7.50019619e+00	    3.50942307e+01	    1.67576822e-02	    0.00000000e+00	    4.85947278e+00	    2.62396573e+00	    1.67576822e-02	    0.00000000e+00	    0.00000000e+00
   0.365000	   -2.74762517e+01	        7.50239735e+00	    3.50942307e+01	    1.67811798e-02	    0.00000000e+00	    4.85960479e+00	    2.62601138e+00	    1.67811798e-02	    0.00000000e+00	    0.00000000e+00
   0.370000	   -2.74727217e+01	        7.50492785e+00	    3.50942307e+01	    1.68080734e-02	    0.00000000e+00	    4.85976476e+00	    2.62835502e+00	    1.68080734e-02	    0.00000000e+00	    0.00000000e+00
   0.375000	   -2.74687940e+01	        7.50785519e+00	    3.50942307e+01	    1.68390576e-02	    0.00000000e+00	    4.85995756e+00	    2.63105857e+00	    1.68390576e-02	    0.00000000e+00	    0.00000000e+00
   0.380000	   -2.74643869e+01	        7.51126342e+00	    3.50942307e+01	    1.68749727e-02	    0.00000000e+00	    4.86019135e+00	    2.63419710e+00	    1.68749727e-02	    0.00000000e+00	    0.00000000e+00
   0.385000	   -2.74593992e+01	        7.51525061e+00	    3.50942307e+01	    1.69168355e-02	    0.00000000e+00	    4.86047219e+00	    2.63786158e+00	    1.69168355e-02	    0.00000000e+00	    0.00000000e+00
   0.390000	   -2.74537093e+01	        7.51994035e+00	    3.50942307e+01	    1.69658767e-02	    0.00000000e+00	    4.86081216e+00	    2.64216231e+00	    1.69658767e-02	    0.00000000e+00	    0.00000000e+00
   0.395000	   -2.74471691e+01	        7.52547981e+00	    3.50942307e+01	    1.70235857e-02	    0.00000000e+00	    4.86122325e+00	    2.64723298e+00	    1.70235857e-02	    0.00000000e+00	    0.00000000e+00
   0.400000	   -2.74396006e+01	        7.53204888e+00	    3.50942307e+01	    1.70917656e-02	    0.00000000e+00	    4.86172145e+00	    2.65323566e+00	    1.70917656e-02	    0.00000000e+00	    0.00000000e+00
   0.405000	   -2.74307852e+01	        7.53986454e+00	    3.50942307e+01	    1.71725989e-02	    0.00000000e+00	    4.86232512e+00	    2.66036682e+00	    1.71725989e-02	    0.00000000e+00	    0.00000000e+00
   0.410000	   -2.74204617e+01	        7.54918837e+00	    3.50942307e+01	    1.72687274e-02	    0.00000000e+00	    4.86305500e+00	    2.66886464e+00	    1.72687274e-02	    0.00000000e+00	    0.00000000e+00
   0.415000	   -2.74083092e+01	        7.56034085e+00	    3.50942307e+01	    1.73833492e-02	    0.00000000e+00	    4.86393965e+00	    2.67901785e+00	    1.73833492e-02	    0.00000000e+00	    0.00000000e+00
   0.420000	   -2.73939418e+01	        7.57370743e+00	    3.50942307e+01	    1.75203352e-02	    0.00000000e+00	    4.86501063e+00	    2.69117646e+00	    1.75203352e-02	    0.00000000e+00	    0.00000000e+00
   0.425000	   -2.73769355e+01	        7.58975815e+00	    3.50942307e+01	    1.76843556e-02	    0.00000000e+00	    4.86631035e+00	    2.70576345e+00	    1.76843556e-02	    0.00000000e+00	    0.00000000e+00
   0.430000	   -2.73566318e+01	        7.60905989e+00	    3.50942307e+01	    1.78811092e-02	    0.00000000e+00	    4.86788302e+00	    2.72329576e+00	    1.78811092e-02	    0.00000000e+00	    0.00000000e+00
   0.435000	   -2.73323988e+01	        7.63230305e+00	    3.50942307e+01	    1.81174305e-02	    0.00000000e+00	    4.86979105e+00	    2.74439457e+00	    1.81174305e-02	    0.00000000e+00	    0.00000000e+00
