SCAPS 3.3.12 ELIS-UGent: Version scaps3312.exe, dated 00-00-   0, 00:00:00
Simulation of I-V curves
Single shot simulation #	9
Calculation started : 	12-8-2026 at 15:45:06

problem definition file :	c:\Users\orden\Desktop\scaps\def\CELL1.def
last saved: 	09-07-2026 at 20:17:00

Calculation under illumination
Optical generation from internal SCAPS calculation
Illumination spectrum read from file
spectrum file :	
C:\Users\orden\Desktop\scaps\spectrum\AM1_5G 1 sun.spe  last saved: 	22-05-2009 at 15:59:48
Neutral density filter: ND	  0.0458
Transmission of ND filter:	  9.0000e-01
Power from spectrum:	  100.0000	mW/cm2
Incident power on solar cell structure	   90.0000	mW/cm2

Working point conditions
Temperature	  300.00	K
Workpoint bias voltage	    0.0000	Volt
Frequency	  1.0000e+06	Hz

Voltage reference convention: voltage referred to right contact, voltage V applied to left contact
Current reference convention: current positive when entering the left contact
Power generated by the cell: = -V*I; power consumed by the cell = +V*I

    v(V)	jtot(mA/cm2)	j_total_rec(mA/cm2)	j_total_gen(mA/cm2)	   jbulk(mA/cm2)	jifr(mA/cm2)	jminor_left(mA/cm2)	jminor_right(mA/cm2)	j_SRH(mA/cm2)	j_Radiative(mA/cm2)	j_Auger(mA/cm2)
   0.190000	   -2.98126102e+01	        5.20103928e+00	    3.50942307e+01	    3.97856072e-02	    0.00000000e+00	    4.85871593e+00	    3.02537747e-01	    3.97856072e-02	    0.00000000e+00	    0.00000000e+00
   0.195000	   -2.98115278e+01	        5.20112104e+00	    3.50942307e+01	    3.97967072e-02	    0.00000000e+00	    4.85872000e+00	    3.02604332e-01	    3.97967072e-02	    0.00000000e+00	    0.00000000e+00
   0.200000	   -2.98104455e+01	        5.20120427e+00	    3.50942307e+01	    3.98078938e-02	    0.00000000e+00	    4.85872495e+00	    3.02671419e-01	    3.98078938e-02	    0.00000000e+00	    0.00000000e+00
   0.205000	   -2.98093621e+01	        5.20128804e+00	    3.50942307e+01	    3.98191708e-02	    0.00000000e+00	    4.85872983e+00	    3.02739038e-01	    3.98191708e-02	    0.00000000e+00	    0.00000000e+00
   0.210000	   -2.98082779e+01	        5.20137194e+00	    3.50942307e+01	    3.98305419e-02	    0.00000000e+00	    4.85873422e+00	    3.02807182e-01	    3.98305419e-02	    0.00000000e+00	    0.00000000e+00
   0.215000	   -2.98071928e+01	        5.20145745e+00	    3.50942307e+01	    3.98420119e-02	    0.00000000e+00	    4.85873954e+00	    3.02875894e-01	    3.98420119e-02	    0.00000000e+00	    0.00000000e+00
   0.220000	   -2.98061071e+01	        5.20154193e+00	    3.50942307e+01	    3.98535858e-02	    0.00000000e+00	    4.85874312e+00	    3.02945219e-01	    3.98535858e-02	    0.00000000e+00	    0.00000000e+00
   0.225000	   -2.98050208e+01	        5.20162947e+00	    3.50942307e+01	    3.98652696e-02	    0.00000000e+00	    4.85874904e+00	    3.03015165e-01	    3.98652696e-02	    0.00000000e+00	    0.00000000e+00
   0.230000	   -2.98039335e+01	        5.20171620e+00	    3.50942307e+01	    3.98770702e-02	    0.00000000e+00	    4.85875336e+00	    3.03085773e-01	    3.98770702e-02	    0.00000000e+00	    0.00000000e+00
   0.235000	   -2.98028447e+01	        5.20180532e+00	    3.50942307e+01	    3.98889954e-02	    0.00000000e+00	    4.85875921e+00	    3.03157108e-01	    3.98889954e-02	    0.00000000e+00	    0.00000000e+00
   0.240000	   -2.98017551e+01	        5.20189420e+00	    3.50942307e+01	    3.99010546e-02	    0.00000000e+00	    4.85876396e+00	    3.03229191e-01	    3.99010546e-02	    0.00000000e+00	    0.00000000e+00
